TransactionID,CustomerAge,TransactionAmount,TransactionTimeHour,NumPrevTransactions,LocationRiskScore,IsFraud
1,56,316.02,15,17,0.95,0
2,69,50.92,19,45,0.37,0
3,46,183.13,5,24,0.83,0
4,32,20.89,10,27,0.19,0
5,60,111.61,23,7,0.81,0
6,25,377.26,2,9,0.66,0
7,38,10.75,19,43,0.19,0
8,56,0.84,9,35,0.3,0
9,36,56.84,0,12,0.13,0
10,40,9.72,19,21,0.38,0
11,28,137.99,10,3,0.2,0
12,28,245.98,11,15,0.64,0
13,41,56.92,13,21,0.99,0
14,53,29.94,7,10,0.01,0
15,57,56.99,10,33,0.54,0
16,41,128.54,3,46,0.57,0
17,20,0.91,6,6,0.91,1
18,39,89.03,9,2,0.51,0
19,19,95.01,18,29,0.54,0
20,41,101.53,3,40,0.47,0
21,61,27.71,1,33,0.27,0
22,47,125.19,20,4,0.06,0
23,55,9.58,17,4,0.41,0
24,19,22.22,13,29,0.05,0
25,38,209.94,15,37,0.55,0
26,50,134.22,21,20,0.31,0
27,29,1.38,10,41,0.53,0
28,39,28.55,9,23,0.13,0
29,61,24.13,16,45,0.93,0
30,42,31.58,13,18,0.89,0
31,66,28.44,21,49,0.19,0
32,44,6.46,3,25,0.34,0
33,59,61.42,18,1,0.61,0
34,45,131.95,1,15,0.1,0
35,33,93.33,6,34,0.35,0
36,32,111.74,8,48,0.25,0
37,64,8.46,18,20,0.92,0
38,68,302.6,15,37,0.85,0
39,61,182.32,21,27,0.58,0
40,69,163.52,15,22,0.52,0
41,20,173.15,17,5,0.93,0
42,54,269.88,22,34,0.93,0
43,68,78.58,20,39,0.97,0
44,24,22.35,20,3,0.13,0
45,38,95.92,10,17,0.16,0
46,26,135.82,6,24,0.68,0
47,56,133.91,8,24,0.54,0
48,35,73.7,3,3,0.02,0
49,21,7.09,12,45,0.06,0
50,42,46.38,3,7,0.89,0
51,31,253.54,18,25,0.87,0
52,67,87.81,1,3,0.36,0
53,26,77.29,8,15,0.89,0
54,43,31.31,11,29,0.59,0
55,19,45.96,1,29,0.81,0
56,37,225.71,5,10,0.43,0
57,45,109.8,4,32,0.11,0
58,64,154.83,4,23,0.43,0
59,24,60.58,19,39,0.46,0
60,61,99.49,21,9,0.55,0
61,25,28.55,4,37,0.11,1
62,64,122.23,3,40,0.99,0
63,52,55.79,8,14,0.24,0
64,31,58.44,21,4,0.2,0
65,34,104.79,9,20,0.53,0
66,53,275.33,15,28,0.54,0
67,67,6.61,9,14,0.44,1
68,57,174.15,9,44,0.77,0
69,21,34.59,18,34,0.52,0
70,19,58.68,9,13,0.61,0
71,23,2.22,5,31,0.72,0
72,59,35.82,16,33,0.03,0
73,21,69.84,4,39,0.57,0
74,46,5.78,5,28,0.88,1
75,35,67.55,23,25,0.02,0
76,43,261.88,14,32,0.41,0
77,61,11.14,18,9,0.93,0
78,51,144.58,17,28,0.35,0
79,27,52.71,3,31,0.46,0
80,53,106.47,7,17,0.98,0
81,31,30.14,15,23,0.2,0
82,48,17.37,23,13,0.07,0
83,65,17.49,18,10,0.86,0
84,32,7.31,19,16,0.87,0
85,25,20.54,2,6,0.47,0
86,31,109.13,9,48,0.51,1
87,40,213.45,1,11,0.84,0
88,57,168.27,3,3,0.74,0
89,38,115.56,5,28,0.27,0
90,33,11.7,10,41,0.02,0
91,62,34.13,13,15,0.48,0
92,35,37.08,15,13,0.86,0
93,64,28.76,20,42,0.9,0
94,41,72.36,18,45,0.96,0
95,43,76.69,1,17,0.88,0
96,42,44.14,16,7,0.58,0
97,62,43.66,8,28,0.44,0
98,58,176.35,16,38,0.77,0
99,46,155.73,14,13,0.74,0
100,32,36.79,6,17,0.54,0
101,62,245.1,21,15,0.09,0
102,18,305.37,22,36,0.93,0
103,42,39.56,18,28,0.46,0
104,24,43.76,2,15,0.36,0
105,26,70.45,0,46,0.63,0
106,41,283.23,3,11,0.67,0
107,18,209.01,17,31,0.21,0
108,61,10.82,7,4,0.84,0
109,25,49.88,18,35,0.29,0
